alpha,m,fitting
-1.699999999999999734e+00,-9.999999999999831246e-02,1.246224209591857424e-01
-1.699999999999999734e+00,1.776356839400250465e-15,1.419254381984688396e-01
-1.699999999999999734e+00,1.000000000000018652e-01,1.673800896057571208e-01
-1.699999999999999734e+00,2.000000000000019540e-01,1.872502924302292537e-01
-1.699999999999999734e+00,3.000000000000020428e-01,2.054122456687191289e-01
-1.699999999999999734e+00,4.000000000000021316e-01,1.332834507924657574e-01
-1.699999999999999734e+00,5.000000000000022204e-01,1.384906516205332283e-01
-1.699999999999999734e+00,6.000000000000023093e-01,1.308804438800672265e-01
-1.699999999999999734e+00,7.000000000000023981e-01,1.015646100721510903e-01
-1.699999999999999734e+00,8.000000000000024869e-01,9.856112279936816989e-02
-1.699999999999999734e+00,9.000000000000025757e-01,9.458964556172580473e-02
-1.699999999999999734e+00,1.000000000000002665e+00,9.008775807076703501e-02
-1.699999999999999734e+00,1.100000000000002753e+00,8.535989109489744431e-02
-1.699999999999999734e+00,1.200000000000002842e+00,8.060654620030306694e-02
-1.699999999999999734e+00,1.300000000000002931e+00,7.595372809306268069e-02
-1.699999999999999734e+00,1.400000000000003020e+00,7.147662806764200349e-02
-1.699999999999999734e+00,1.500000000000003109e+00,6.721683417510482261e-02
-1.699999999999999734e+00,1.600000000000003197e+00,6.319418802108218991e-02
-1.699999999999999734e+00,1.700000000000003286e+00,5.941471828425676227e-02
-1.699999999999999734e+00,1.800000000000003375e+00,5.587586367091430806e-02
-1.699999999999999734e+00,1.900000000000003464e+00,5.256987961943930532e-02
-1.599999999999999645e+00,-2.000000000000000000e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.899999999999999911e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.799999999999999822e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.699999999999999734e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.599999999999999645e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.499999999999999556e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.399999999999999467e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.299999999999999378e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.199999999999999289e+00,0.000000000000000000e+00
-1.599999999999999645e+00,-1.099999999999999201e+00,2.465141638300269444e-02
-1.599999999999999645e+00,-9.999999999999991118e-01,2.558764207684492004e-02
-1.599999999999999645e+00,-8.999999999999990230e-01,2.627538140532561378e-02
-1.599999999999999645e+00,-7.999999999999989342e-01,3.114359809852880467e-02
-1.599999999999999645e+00,-6.999999999999988454e-01,3.861379135531280149e-02
-1.599999999999999645e+00,-5.999999999999987566e-01,4.604104352061772626e-02
-1.599999999999999645e+00,-4.999999999999986677e-01,5.448273803990125175e-02
-1.599999999999999645e+00,-3.999999999999985789e-01,5.995165887474494804e-02
-1.599999999999999645e+00,-2.999999999999984901e-01,9.101571475000080902e-02
-1.599999999999999645e+00,-1.999999999999984013e-01,9.233524966898122577e-02
-1.599999999999999645e+00,-9.999999999999831246e-02,1.323895259432790183e-01
-1.599999999999999645e+00,1.776356839400250465e-15,1.506555952838533052e-01
-1.599999999999999645e+00,1.000000000000018652e-01,1.751509004097132338e-01
-1.599999999999999645e+00,2.000000000000019540e-01,1.951320634613515348e-01
-1.599999999999999645e+00,3.000000000000020428e-01,2.130836262223092248e-01
-1.599999999999999645e+00,4.000000000000021316e-01,1.702399956571146178e-01
-1.599999999999999645e+00,5.000000000000022204e-01,1.396112858573069215e-01
-1.599999999999999645e+00,6.000000000000023093e-01,1.304221079348152068e-01
-1.599999999999999645e+00,7.000000000000023981e-01,1.293858303044230218e-01
-1.599999999999999645e+00,8.000000000000024869e-01,9.667019378225896742e-02
-1.599999999999999645e+00,9.000000000000025757e-01,9.258134563424064156e-02
-1.599999999999999645e+00,1.000000000000002665e+00,8.801778959251005396e-02
-1.599999999999999645e+00,1.100000000000002753e+00,8.326682872128382540e-02
-1.599999999999999645e+00,1.200000000000002842e+00,7.851664436032031180e-02
-1.599999999999999645e+00,1.300000000000002931e+00,7.388476307942472288e-02
-1.599999999999999645e+00,1.400000000000003020e+00,6.944064709027418514e-02
-1.599999999999999645e+00,1.500000000000003109e+00,6.522201686364052786e-02
-1.599999999999999645e+00,1.600000000000003197e+00,6.124607444879714979e-02
-1.599999999999999645e+00,1.700000000000003286e+00,5.751701248201765426e-02
-1.599999999999999645e+00,1.800000000000003375e+00,5.403096173093480808e-02
