alpha,m,fitting
3.000000000000020428e-01,-9.999999999999831246e-02,8.945945217805872929e-01
3.000000000000020428e-01,1.776356839400250465e-15,8.716437180712979238e-01
3.000000000000020428e-01,1.000000000000018652e-01,8.855382101523195937e-01
3.000000000000020428e-01,2.000000000000019540e-01,8.796306316298687644e-01
3.000000000000020428e-01,3.000000000000020428e-01,8.730414103992042429e-01
3.000000000000020428e-01,4.000000000000021316e-01,8.660570167527383845e-01
3.000000000000020428e-01,5.000000000000022204e-01,8.589363443041995172e-01
3.000000000000020428e-01,6.000000000000023093e-01,8.518697798436375423e-01
3.000000000000020428e-01,7.000000000000023981e-01,8.449760198862407146e-01
3.000000000000020428e-01,8.000000000000024869e-01,8.383146562105060484e-01
3.000000000000020428e-01,9.000000000000025757e-01,8.319020306657052277e-01
3.000000000000020428e-01,1.000000000000002665e+00,8.257256128027967712e-01
3.000000000000020428e-01,1.100000000000002753e+00,8.197556215543287950e-01
3.000000000000020428e-01,1.200000000000002842e+00,8.139538101672486592e-01
3.000000000000020428e-01,1.300000000000002931e+00,8.082797165594033384e-01
3.000000000000020428e-01,1.400000000000003020e+00,8.026948065303475266e-01
3.000000000000020428e-01,1.500000000000003109e+00,7.971649619322690450e-01
3.000000000000020428e-01,1.600000000000003197e+00,7.916617359582018842e-01
3.000000000000020428e-01,1.700000000000003286e+00,7.861627385720101335e-01
3.000000000000020428e-01,1.800000000000003375e+00,7.806514460484816897e-01
3.000000000000020428e-01,1.900000000000003464e+00,7.751166618467509872e-01
4.000000000000021316e-01,-2.000000000000000000e+00,9.332826232061696148e-01
4.000000000000021316e-01,-1.899999999999999911e+00,9.339117129423467611e-01
4.000000000000021316e-01,-1.799999999999999822e+00,9.345103023145062693e-01
4.000000000000021316e-01,-1.699999999999999734e+00,9.350712015866852189e-01
4.000000000000021316e-01,-1.599999999999999645e+00,9.355860773004469610e-01
4.000000000000021316e-01,-1.499999999999999556e+00,9.360454128346513691e-01
4.000000000000021316e-01,-1.399999999999999467e+00,9.364385635883534231e-01
4.000000000000021316e-01,-1.299999999999999378e+00,9.367539649566191118e-01
4.000000000000021316e-01,-1.199999999999999289e+00,9.369795612777849225e-01
4.000000000000021316e-01,-1.099999999999999201e+00,9.371035175249178284e-01
4.000000000000021316e-01,-9.999999999999991118e-01,9.371152365439836540e-01
4.000000000000021316e-01,-8.999999999999990230e-01,9.370066162443043689e-01
4.000000000000021316e-01,-7.999999999999989342e-01,9.367733334938501688e-01
4.000000000000021316e-01,-6.999999999999988454e-01,9.364157372388488554e-01
4.000000000000021316e-01,-5.999999999999987566e-01,9.359386810446768123e-01
4.000000000000021316e-01,-4.999999999999986677e-01,9.353493207721135239e-01
4.000000000000021316e-01,-3.999999999999985789e-01,9.346515364116851909e-01
4.000000000000021316e-01,-2.999999999999984901e-01,9.338353204524321161e-01
4.000000000000021316e-01,-1.999999999999984013e-01,9.328598572167428049e-01
4.000000000000021316e-01,-9.999999999999831246e-02,9.316320637349061462e-01
4.000000000000021316e-01,1.776356839400250465e-15,9.212954236998383006e-01
4.000000000000021316e-01,1.000000000000018652e-01,9.277252112362450731e-01
4.000000000000021316e-01,2.000000000000019540e-01,9.246365347487150999e-01
4.000000000000021316e-01,3.000000000000020428e-01,9.206354233856610669e-01
4.000000000000021316e-01,4.000000000000021316e-01,9.157760233629383961e-01
4.000000000000021316e-01,5.000000000000022204e-01,9.102075681371859517e-01
4.000000000000021316e-01,6.000000000000023093e-01,9.040968768215552620e-01
4.000000000000021316e-01,7.000000000000023981e-01,8.975804453286501117e-01
4.000000000000021316e-01,8.000000000000024869e-01,8.907525961325231112e-01
4.000000000000021316e-01,9.000000000000025757e-01,8.836720162623767916e-01
4.000000000000021316e-01,1.000000000000002665e+00,8.763727412425222907e-01
4.000000000000021316e-01,1.100000000000002753e+00,8.688738243480907952e-01
4.000000000000021316e-01,1.200000000000002842e+00,8.611864119801013739e-01
4.000000000000021316e-01,1.300000000000002931e+00,8.533184957733753739e-01
4.000000000000021316e-01,1.400000000000003020e+00,8.452779211134424653e-01
4.000000000000021316e-01,1.500000000000003109e+00,8.370741654847176916e-01
4.000000000000021316e-01,1.600000000000003197e+00,8.287192662894281581e-01
4.000000000000021316e-01,1.700000000000003286e+00,8.202281621889072616e-01
4.000000000000021316e-01,1.800000000000003375e+00,8.116186301067791486e-01
4.000000000000021316e-01,1.900000000000003464e+00,8.029109477277651674e-01
5.000000000000022204e-01,-2.000000000000000000e+00,9.168671369854782816e-01
5.000000000000022204e-01,-1.899999999999999911e+00,9.174537974077348057e-01
5.000000000000022204e-01,-1.799999999999999822e+00,9.180289821433488262e-01
5.000000000000022204e-01,-1.699999999999999734e+00,9.185902170079066620e-01
5.000000000000022204e-01,-1.599999999999999645e+00,9.191346362764611921e-01
5.000000000000022204e-01,-1.499999999999999556e+00,9.196589054123999185e-01
5.000000000000022204e-01,-1.399999999999999467e+00,9.201591319809737657e-01
5.000000000000022204e-01,-1.299999999999999378e+00,9.206307653608094554e-01
5.000000000000022204e-01,-1.199999999999999289e+00,9.210684871179425359e-01
5.000000000000022204e-01,-1.099999999999999201e+00,9.214660953528773790e-01
5.000000000000022204e-01,-9.999999999999991118e-01,9.218163872583660101e-01
5.000000000000022204e-01,-8.999999999999990230e-01,9.221110425071408212e-01
5.000000000000022204e-01,-7.999999999999989342e-01,9.223405010147741612e-01
5.000000000000022204e-01,-6.999999999999988454e-01,9.224938013557301142e-01
5.000000000000022204e-01,-5.999999999999987566e-01,9.225582791600445143e-01
